Fecha,Año,Mes,FamiliaGerencia,Producto,Total USD,Total TM,PPP
2014-01-01,2014,1,CAMARON,CAMARON MAX 35% PREMIUM 500-1200 45.40 KL,23930.00,22.68,"1,055.13"
2014-01-01,2014,1,CAMARON,C-MAX 25% FINA 1.,49398.05,64,771.82
2014-01-01,2014,1,CAMARON,C-MAX 25% FINA 1. 45.,5021.00,7.67,654.99
2014-01-01,2014,1,CAMARON,C-MAX 25% FINA 1. PME ACIDOMIX,355.95,0.54,653.95
2014-01-01,2014,1,CAMARON,C-MAX 28% FINA 1.,50595.60,59.87,845.03
2014-01-01,2014,1,CAMARON,C-MAX 30% CREC 1.8,242312.81,280.77,863.02
2014-01-01,2014,1,CAMARON,C-MAX 30% CREC 2,438415.25,556.24,788.18
2014-01-01,2014,1,CAMARON,C-MAX 35% CREC 1.2,710164.62,623.01,"1,139.89"
2014-01-01,2014,1,CAMARON,C-MAX 35% CREC 1.8,171286.20,181.89,941.7
2014-01-01,2014,1,CAMARON,C-MAX 35% CREC 2,9409.40,9.98,942.92
2014-01-01,2014,1,CAMARON,C-MAX 35% FINA 1.,4545.13,5.9,770.79
2014-01-01,2014,1,CAMARON,C-MAX 35% GRANULAD 45.40 KL,177130.80,179.62,986.13
2014-01-01,2014,1,CAMARON,C-MAX 35% INIC 1,40713.20,39.92,"1,019.97"
2014-01-01,2014,1,CAMARON,C-MAX 35% INICMIX,18959.60,19.96,949.97
2014-01-01,2014,1,CAMARON,C-MAX MAX 25% FINA 1.,30291.76,61.78,490.32
2014-01-01,2014,1,POLLO,ALIMENTO PLUS P FASE 2 S/PIGMEN SH 45.40 KL,58224.46,115.67,503.38
2014-01-01,2014,1,POLLO,ARECA AZ FASE 2 HARINA EN SACOS 45.40 KL,37091.70,70.99,522.51
2014-01-01,2014,1,POLLO,ARECA PR FASE 1 HARINA EN SACOS 45.40 KL,27291.23,49.21,554.53
2014-01-01,2014,1,POLLO,ARECA PR FASE 1 PELLET EN SACOS 45.40 KL,68504.77,120.11,570.34
2014-01-01,2014,1,POLLO,ARECA PR FASE 2 HARINA EN SACOS 45.40 KL,62355.00,109.41,569.94
2014-01-01,2014,1,POLLO,ARECA PR FASE 2 PELLET EN SACOS 45.40 KL,140946.18,248.52,567.13
2014-01-01,2014,1,POLLO,D/PATIO FASE 2 HARINA EN SACOS 45.40 KL,7610.01,19.55,389.26
2014-01-01,2014,1,POLLO,FASE PLUS 2 GRANULAD 45.40 KL,10755.54,19.19,560.56
2014-01-01,2014,1,POLLO,PREMIUM FASE 1 PLUS SPG EN SACOS 45.40 KL,25018.29,46.49,538.11
2014-01-01,2014,1,POLLO,PREMIUM FASE II PLUS SH EN SACOS 45.40 KL,212676.36,382.11,556.59
2014-01-01,2014,1,MASCOTAS,ALIMENTO P/PERRO ADULTO 100 LBS.,7036.97,10.66,660.16
2014-01-01,2014,1,MASCOTAS,ARECANA ADULTO EN BOLSA 100 LBS.,3133.11,4.72,664.17
2014-01-01,2014,1,MASCOTAS,ARECANA ADULTO FARDO 5 BOLSAS 25 LBS.,343.29,0.49,704.03
2014-01-01,2014,1,MASCOTAS,ARECANA ADULTO H.PAIZ EN BOLSA 5 LBS,937.52,1.18,794.96
2014-01-01,2014,1,MASCOTAS,ARECANA ADULTO H.PAIZ EN SACOS 50 LBS,627.84,0.82,768.97
2014-01-01,2014,1,MASCOTAS,ARECANA ADULTO HUESITO EN SACOS 45.40 KL,161680.76,243.72,663.4
2014-01-01,2014,1,MASCOTAS,ARECANA CACHORRO 2 COLORES EN SACOS 50 LBS,8610.15,9.71,887.01
2014-01-01,2014,1,MASCOTAS,ARECANA CACHORRO H.PAIZ EN BOLSA 45 LBS.,322.29,0.37,877.19
2014-01-01,2014,1,MASCOTAS,ARECANA PLUS ADULTO 100.00 LBS./ 45.40 KGS.,40508.12,57.38,705.97
2014-01-01,2014,1,MASCOTAS,ARECANA PLUS ADULTO 4.40 LBS./ 2.00 KGS.,1528.32,1.66,922.61
2014-01-01,2014,1,MASCOTAS,ARECANA PLUS ADULTO 50.00 LBS./ 22.70 KGS.,9795.13,13.24,739.54
2014-01-01,2014,1,MASCOTAS,ARECANA PLUS EN SACOS 45.40KGS,854.55,1.13,753.58
2014-01-01,2014,1,MASCOTAS,GRAND SABUESO EN BOLSA 45.40KGS,86504.44,139.75,618.99
2014-01-01,2014,1,MASCOTAS,SABUESO ADULTO 2.20 LBS./ 1.00 KGS.,699.10,0.74,941.62
2014-01-01,2014,1,MASCOTAS,SABUESO ADULTO 4.40 LBS./ 2.00 KGS.,5764.41,7.14,807
2014-01-01,2014,1,MASCOTAS,SABUESO ADULTO 50 LBS./ 22.70 KGS.,34467.74,55.97,615.79
2014-01-01,2014,1,MASCOTAS,SMARTCAN CACHORRO 38 LBS,21609.16,31.32,689.97
2014-01-01,2014,1,MASCOTAS,SMARTCAN P/PERRO ADULTO 50 LBS,55476.45,79.65,696.49
2014-01-01,2014,1,PECES,TILAPIA MAX 28% 6-8M EN SACOS 45.40 KL,2530.99,3.95,641.37
2014-01-01,2014,1,PECES,TILAPIA MAX 32% 4 MM EN SACOS 45.40 KL,60319.54,81.15,743.33
2014-01-01,2014,1,PECES,TILAPIA MAX 32% 6 MM EN SACOS 45.40 KL,28642.50,38.78,738.55
2014-01-01,2014,1,PECES,TILAPIA MAX 32% ESPECIAL 45.40 KL,5437.50,6.58,826.73
2014-01-01,2014,1,PECES,TILAPIA MAX 36% 4 MM 45.40 KL,8419.95,10.66,789.91
2014-01-01,2014,1,PECES,TILAPIA MAX 38% 2 MM VITAMI.C EN SACOS 45.40 KL,44431.70,48.81,910.36
2014-01-01,2014,1,GALLINA,ARECA PRIMIUM CRIA 1 HARINA EN SACOS 45.40 KL,3206.84,6.4,501.41
2014-01-01,2014,1,GALLINA,ARECA PRIMIUM IMPULSOR HARINA EN SACOS 45.40 KL,12231.27,25.58,478.11
2014-01-01,2014,1,GALLINA,ARECA PRIMIUM POST 1 HARINA EN SACOS 45.40 KL,106386.40,236.55,449.74
2014-01-01,2014,1,GALLINA,ARECA PRIMIUM POST 2 HARINA EN SACOS 45.40 KL,8624.98,17.96,480.17
2014-01-01,2014,1,GALLINA,IMPULSOR POSTURA CR 45.40 KL,823.21,1.77,465.35
2014-01-01,2014,1,GALLINA,IMPULSOR POSTURA PLUS EN SACOS 45.40 KL,24927.76,58.65,425.03
2014-01-01,2014,1,GALLINA,LEVANTE DE POLLITA SG 45.40 KL,19924.68,39.46,504.9
2014-02-01,2014,2,CAMARON,CAMARON MAX 35% PREMIUM 500-1200 45.40 KL,9389.90,9.53,985.77
2014-02-01,2014,2,CAMARON,C-MAX 25% FINA 1.,31134.40,39.92,779.99
2014-02-01,2014,2,CAMARON,C-MAX 25% FINA 1. 45.,8529.84,11.52,740.36
2014-02-01,2014,2,CAMARON,C-MAX 28% CREC 2.0,50014.80,59.87,835.33
2014-02-01,2014,2,CAMARON,C-MAX 28% FINA 1.,33730.40,39.92,845.03
2014-02-01,2014,2,CAMARON,C-MAX 30% CREC 1.8,184694.30,210.24,878.49
2014-02-01,2014,2,CAMARON,C-MAX 30% CREC 2,462863.38,579.87,798.21
2014-02-01,2014,2,CAMARON,C-MAX 35% CREC 1.2,379569.28,364.14,"1,042.36"
2014-02-01,2014,2,CAMARON,C-MAX 35% CREC 1.8,1160113.27,"1,257.13",922.82
2014-02-01,2014,2,CAMARON,C-MAX 35% FINA 1.,7529.67,9.03,834.17
2014-02-01,2014,2,CAMARON,C-MAX 35% FINA 1.P MED,472.60,0.68,694.6
2014-02-01,2014,2,CAMARON,C-MAX 35% INICMIX,15134.21,15.88,953.29
2014-02-01,2014,2,CAMARON,C-MAX MAX 25% FINA 1.,19360.00,39.92,485.02
2014-02-01,2014,2,POLLO,ALIMENTO PLUS P FASE 2 S/PIGMEN SH 45.40 KL,21456.97,41.91,511.95
2014-02-01,2014,2,POLLO,ARECA AZ FASE 2 HARINA EN SACOS 45.40 KL,39656.78,75.43,525.73
2014-02-01,2014,2,POLLO,ARECA PR FASE 1 HARINA EN SACOS 45.40 KL,22636.15,40.37,560.72
2014-02-01,2014,2,POLLO,ARECA PR FASE 1 PELLET EN SACOS 45.40 KL,74291.93,131.63,564.39
2014-02-01,2014,2,POLLO,ARECA PR FASE 2 HARINA EN SACOS 45.40 KL,42254.35,74.66,565.95
2014-02-01,2014,2,POLLO,ARECA PR FASE 2 PELLET EN SACOS 45.40 KL,113482.67,200.17,566.93
2014-02-01,2014,2,POLLO,D/PATIO FASE 2 HARINA EN SACOS 45.40 KL,2347.66,5.99,392.1
2014-02-01,2014,2,POLLO,FASE PLUS 2 GRANULAD 45.40 KL,16448.67,29.44,558.75
2014-02-01,2014,2,POLLO,PREMIUM FASE 1 PLUS SPG EN SACOS 45.40 KL,24340.62,45.22,538.23
2014-02-01,2014,2,POLLO,PREMIUM FASE II PLUS SH EN SACOS 45.40 KL,210367.61,379.43,554.43
2014-02-01,2014,2,MASCOTAS,ALIMENTO P/PERRO ADULTO 100 LBS.,8618.00,12.61,683.43
2014-02-01,2014,2,MASCOTAS,ARECANA ADULTO FARDO 5 BOLSAS 25 LBS.,1125.30,1.59,708.82
2014-02-01,2014,2,MASCOTAS,ARECANA ADULTO H.PAIZ EN BOLSA 5 LBS,1385.72,1.72,803.94
